group_no,postal_code,city,province,district,sub_district,times_appeared,first_seen_page,first_seen_row_on_page,first_seen_global_row,repeated_at_pages,repeated_at_rows_on_page,repeated_at_global_rows,copies_dropped
1,12240,Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Kebayoran Lama,Kebayoran Lama,2,4,21,114,4,22,115,1
2,20131,Medan,Sumatera Utara,Medan Selayang,P Bulan Selayang,2,50,19,1538,50,20,1539,1
3,20226,Medan,Sumatera Utara,Medan Denai,Tegal S Mandala,3,52,29,1610,52 | 52,30 | 31,1611 | 1612,2
4,20236,Medan,Sumatera Utara,Medan Perjuangan,Sidorame Barat I,2,53,13,1625,53,14,1626,1
5,20239,Medan,Sumatera Utara,Medan Timur,P Berayan Darat,2,53,20,1632,53,23,1635,1
6,20362,Deli Serdang,Sumatera Utara,Tanjung Morawa,Tanjung Morawa,2,59,27,1825,60,2,1831,1
7,20582,Deli Serdang,Sumatera Utara,STM Hulu,Gunung Manupa,2,65,21,2005,65,23,2007,1
8,20853,Langkat,Sumatera Utara,Tanjung Pura,Pematang Cenga,2,74,22,2285,75,3,2297,1
9,20919,Serdang Bedagai,Sumatera Utara,Sei Rampah,Rambung Sialang,3,79,17,2435,79 | 79,18 | 21,2436 | 2439,2
10,21185,Simalungun,Sumatera Utara,Bandar Masilam,Bandar Masilam,2,98,23,3030,98,24,3031,1
11,21264,Asahan,Sumatera Utara,Rawang Panca Arga,Rawang Pasar V,2,106,27,3282,106,29,3284,1
12,21272,Asahan,Sumatera Utara,Air Batu,Perkebunan Air B,2,107,28,3314,108,5,3322,1
13,21274,Asahan,Sumatera Utara,Aek Songsongan,Perkebunan Ban,2,109,6,3354,109,8,3356,1
14,21291,Asahan,Sumatera Utara,Sei Dadap,Perkebunan Sei,2,110,6,3385,110,7,3386,1
15,21459,Labuhan Batu,Sumatera Utara,Bilah Barat,Tebing Linggahar,2,113,12,3484,113,13,3485,1
16,21658,Batu Bara,Sumatera Utara,Medang Deras,Pangkalan Dodek,2,118,2,3629,118,13,3640,1
17,22152,Karo,Sumatera Utara,Berastagi,Tambak Lau Mulg,2,122,2,3753,122,5,3756,1
18,22281,Dairi,Sumatera Utara,Sumbul,Tanjung Beringin,2,135,28,4182,136,15,4200,1
19,22281,Dairi,Sumatera Utara,Sumbul,Pagagan Julu VII,2,136,3,4188,136,5,4190,1
20,22355,Toba,Sumatera Utara,Nassau,Lumban Rau Ten,2,139,21,4299,139,23,4301,1
21,22356,Toba,Sumatera Utara,Siantar Narumonda,Siantar Tonga-To,2,140,1,4310,140,4,4313,1
22,22381,Toba,Sumatera Utara,Laguboti,Ompu Raja Huta,2,140,29,4338,141,4,4344,1
23,22427,Tapanuli Utara,Sumatera Utara,Siatas Barita,Lumban Siagian,2,150,21,4640,150,26,4645,1
24,22456,Humbahas,Sumatera Utara,Parlilitan,Sionom Hudon To,2,153,3,4715,153,18,4730,1
25,22456,Humbahas,Sumatera Utara,Parlilitan,Sihotang Hasugia,4,153,4,4716,153 | 153 | 153,13 | 19 | 20,4725 | 4731 | 4732,3
26,22456,Humbahas,Sumatera Utara,Parlilitan,Sionom Hudon S,2,153,5,4717,153,11,4723,1
27,22456,Humbahas,Sumatera Utara,Parlilitan,Sionom Hudon T,2,153,7,4719,153,17,4729,1
28,22461,Tapanuli Utara,Sumatera Utara,Adian Koting,Pagaran Lambun,2,155,9,4783,155,23,4797,1
29,22461,Tapanuli Utara,Sumatera Utara,Adian Koting,Pangaran Lambu,2,155,12,4786,155,13,4787,1
30,22471,Tapanuli Utara,Sumatera Utara,Sipahutar,Sabungannihuta,5,157,13,4849,157 | 157 | 157 | 157,15 | 16 | 17 | 28,4851 | 4852 | 4853 | 4864,4
31,22474,Tapanuli Utara,Sumatera Utara,Siborong-Borong,Siborong Borong,2,159,23,4921,160,4,4933,1
32,22575,Tapanuli Tengah,Sumatera Utara,Andam Dewi,Bondar Sihudon,2,167,3,5149,167,7,5153,1
33,22727,Padangsidimpuan,Sumatera Utara,Padangsidimpuan Sel,Padang Matinggi,2,170,31,5270,171,1,5271,1
34,22753,Padang Lawas Ut,Sumatera Utara,Padang Bolak,Batang Baruhar J,2,178,27,5514,179,15,5533,1
35,22785,Padang Lawas Ut,Sumatera Utara,Dolok Sigompulon,Padang Matinggi,2,196,18,6063,197,10,6086,1
36,22794,Padang Lawas,Sumatera Utara,Huta Raja Tinggi,Pir Trans Sosa V,2,199,25,6163,200,7,6176,1
37,22794,Padang Lawas,Sumatera Utara,Huta Raja Tinggi,Pir Trans Sosa II,3,200,6,6175,200 | 200,8 | 15,6177 | 6184,2
38,22796,Padang Lawas,Sumatera Utara,Aek Nabara Barumun,Padang Garugur,3,201,14,6214,201 | 201,21 | 29,6221 | 6229,2
39,22861,Nias Utara,Sumatera Utara,Alasa,Banua Sibohou I,2,215,15,6649,215,19,6653,1
40,22964,Mandailing Nata,Sumatera Utara,Ulu Pungkut,Simpang Banyak,2,238,11,7358,238,18,7365,1
41,22988,Mandailing Nata,Sumatera Utara,Batahan,Kampung Kapas,2,243,25,7527,243,29,7531,1
42,22989,Mandailing Nata,Sumatera Utara,Muara Batang Gadis,Pasar Singkuang,2,244,14,7547,244,23,7556,1
43,22989,Mandailing Nata,Sumatera Utara,Muara Batang Gadis,Lubuk Kapundun,2,244,17,7550,244,21,7554,1
44,22994,Mandailing Nata,Sumatera Utara,Kotanopan,Simpang Tolang J,2,245,24,7588,245,27,7591,1
45,23371,Aceh Besar,Aceh,Ingin Jaya,Meunasah Manya,2,261,6,8066,261,18,8078,1
46,24188,Pidie Jaya,Aceh,Jangka Buaya,Keurisi Meunasa,3,340,25,10534,340 | 341,31 | 3,10540 | 10543,2
